  
       XFOIL         Version 6.99
  
 Calculated polar for: CST Airfoil                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000  -0.0756   0.01652   0.00622   0.0228   0.4213   0.0142  32.0682  88.4637
  -1.500  -0.0229   0.01469   0.00440   0.0245   0.4119   0.0189  32.5755  90.2762
  -0.500   0.1014   0.01019   0.00062   0.0254   0.3912   0.0082  33.6853  85.8962
   0.000   0.1489   0.00963   0.00037   0.0278   0.3812   0.0087  34.2265  86.1015
   0.500   0.1927   0.00907   0.00029   0.0310   0.3710   0.0619  34.7770 101.7400
   1.000   0.2250   0.00818   0.00040   0.0360   0.3619   0.3717  35.2640 125.7411
   1.500   0.2233   0.00649   0.00052   0.0492   0.3544   0.9101  35.6690 155.7288
   2.000   0.2947   0.00707   0.00098   0.0467   0.3425   0.9370  36.3096 157.2592
   2.500   0.3888   0.00776   0.00133   0.0389   0.3279   0.9410  37.0976 157.4847
   3.000   0.4686   0.00836   0.00162   0.0341   0.3140   0.9449  37.8510 157.7090
   3.500   0.5187   0.00863   0.00177   0.0357   0.3033   0.9513  38.4278 158.0685
   4.000   0.5791   0.00878   0.00182   0.0347   0.2903   0.9522  39.1383 158.1199
   4.500   0.6389   0.00898   0.00189   0.0337   0.2763   0.9531  39.9031 158.1750
   5.000   0.6984   0.00916   0.00196   0.0328   0.2637   0.9542  40.5901 158.2378
   5.500   0.7572   0.00941   0.00206   0.0320   0.2504   0.9556  41.3290 158.3166
   6.000   0.8142   0.00972   0.00217   0.0314   0.2363   0.9574  42.1125 158.4202
   6.500   0.8676   0.01005   0.00229   0.0316   0.2215   0.9598  42.9466 158.5572
   7.000   0.9130   0.01046   0.00240   0.0333   0.1976   0.9636  44.3324 158.7743
   7.500   0.9466   0.01100   0.00257   0.0375   0.1718   0.9685  45.8939 159.0519
   8.000   1.0046   0.01156   0.00281   0.0362   0.1486   0.9697  47.4021 159.1217
   8.500   1.0582   0.01253   0.00324   0.0354   0.1144   0.9712  49.9032 159.2087
   9.000   1.1074   0.01368   0.00378   0.0352   0.0821   0.9732  52.8888 159.3236
   9.500   1.1457   0.01554   0.00480   0.0366   0.0399   0.9766  58.9105 159.5163
  10.000   1.1485   0.01811   0.00610   0.0447   0.0007   0.9852  76.3838 160.0144
  10.500   1.2031   0.01913   0.00658   0.0428   0.0006   0.9864  76.7299 160.0971
  11.000   1.2527   0.02042   0.00717   0.0415   0.0005   0.9882  76.8411 160.2148
  11.500   1.2948   0.02203   0.00791   0.0410   0.0005   0.9911  76.8807 160.4052
  12.000   1.3181   0.02403   0.00892   0.0425   0.0005   0.9959  76.8880 160.7276
  12.500   1.3318   0.02955   0.01257   0.0372   0.0005   0.9998  76.8818 160.9866
  13.000   1.3020   0.03643   0.01738   0.0379   0.0005   1.0000  76.8752 161.0000
  13.500   1.2694   0.04331   0.02236   0.0393   0.0005   1.0000  76.8681 161.0000
  14.000   1.2389   0.05057   0.02787   0.0398   0.0005   1.0000  76.8596 161.0000
