  
       XFOIL         Version 6.99
  
 Calculated polar for: CST Airfoil                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000   0.2569   0.00938  -0.00000  -0.0688   0.7626   0.0082  14.0973  85.9328
  -1.500   0.3110   0.00868  -0.00048  -0.0681   0.7309   0.0082  15.7967  85.9341
  -1.000   0.3536   0.00835  -0.00064  -0.0649   0.6955   0.0093  17.6951  86.4595
  -0.500   0.3887   0.00789  -0.00066  -0.0602   0.6579   0.1290  19.7004 110.5386
   0.000   0.3908   0.00688  -0.00053  -0.0489   0.6243   0.5314  21.4927 134.6161
   2.000   0.6740   0.01021   0.00156  -0.0600   0.4634   0.9520  30.0273 158.0928
   3.000   0.7916   0.01075   0.00172  -0.0620   0.3971   0.9552  33.5415 158.2785
   3.500   0.8316   0.01099   0.00176  -0.0590   0.3689   0.9573  35.0385 158.3997
   4.000   0.8662   0.01122   0.00177  -0.0548   0.3440   0.9604  36.3621 158.5757
   4.500   0.8600   0.01167   0.00164  -0.0415   0.3263   0.9683  37.3019 159.0318
   5.000   0.9088   0.01178   0.00168  -0.0407   0.3007   0.9695  38.6737 159.0986
   5.500   0.9566   0.01205   0.00173  -0.0398   0.2762   0.9706  39.9974 159.1651
   6.000   1.0051   0.01235   0.00177  -0.0390   0.2547   0.9720  41.1720 159.2439
   6.500   1.0465   0.01291   0.00184  -0.0370   0.2184   0.9740  43.1955 159.3570
   7.000   1.0841   0.01340   0.00187  -0.0342   0.1946   0.9763  44.5728 159.4924
   7.500   1.1129   0.01412   0.00193  -0.0297   0.1632   0.9796  46.4936 159.6824
   8.000   1.1187   0.01505   0.00182  -0.0201   0.1480   0.9856  47.4896 160.0352
   8.500   1.1606   0.01579   0.00209  -0.0191   0.1159   0.9866  49.8364 160.1034
   9.000   1.1996   0.01668   0.00238  -0.0176   0.0900   0.9879  52.1316 160.1887
   9.500   1.2290   0.01806   0.00292  -0.0148   0.0571   0.9897  56.0611 160.3121
  10.500   1.2655   0.02206   0.00482  -0.0064   0.0007   0.9947  76.5322 160.6450
  11.000   1.2988   0.02334   0.00532  -0.0048   0.0006   0.9969  76.7174 160.7933
  11.500   1.3290   0.02486   0.00597  -0.0030   0.0006   0.9987  76.8034 160.9115
  12.000   1.3582   0.02666   0.00683  -0.0016   0.0006   1.0000  76.8456 161.0000
  12.500   1.3655   0.02870   0.00770   0.0037   0.0005   1.0000  76.8598 161.0000
  13.000   1.3706   0.03108   0.00882   0.0087   0.0005   1.0000  76.8634 161.0000
  13.500   1.3727   0.03392   0.01032   0.0133   0.0005   1.0000  76.8594 161.0000
  14.000   1.3721   0.03730   0.01224   0.0174   0.0005   1.0000  76.8497 161.0000
