  
       XFOIL         Version 6.99
  
 Calculated polar for: S809-like Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -2.000   0.1112   0.01047   0.00113  -0.0709   0.5579   0.0066  25.3953  84.8962
  -1.500   0.1584   0.01017   0.00100  -0.0703   0.5500   0.0112  25.8206  87.0323
  -1.000   0.1781   0.00778   0.00044  -0.0652   0.5442   0.5273  26.1379 134.5936
  -0.500   0.2320   0.00788   0.00059  -0.0658   0.5382   0.5493  26.4622 135.8170
   0.000   0.2845   0.00797   0.00058  -0.0662   0.5315   0.5538  26.8267 136.0678
   0.500   0.3372   0.00800   0.00059  -0.0667   0.5258   0.5599  27.1301 136.4065
   1.000   0.3904   0.00804   0.00057  -0.0673   0.5203   0.5649  27.4319 136.6885
   1.500   0.4416   0.00816   0.00052  -0.0675   0.5139   0.5694  27.7754 136.9385
   2.000   0.4923   0.00825   0.00048  -0.0676   0.5083   0.5752  28.0763 137.2633
   2.500   0.5440   0.00830   0.00044  -0.0678   0.5039   0.5811  28.3145 137.5931
   3.000   0.5889   0.00841   0.00023  -0.0667   0.4874   0.5863  29.2080 137.8784
   3.500   0.6202   0.00859  -0.00011  -0.0626   0.4553   0.5915  30.9379 138.1714
   4.000   0.5960   0.01032  -0.00024  -0.0479   0.3050   0.5968  39.0825 138.4667
   4.500   0.5375   0.01332   0.00016  -0.0282   0.0552   0.6017  59.8849 138.7402
   5.500   0.5737   0.01538   0.00017  -0.0178   0.0104   0.6137  73.4504 139.4098
   6.000   0.5953   0.01644   0.00026  -0.0137   0.0072   0.6198  74.9543 139.7506
   7.000   0.6170   0.01980   0.00088  -0.0033   0.0025   0.6325  77.5548 140.4605
   7.500   0.6108   0.02269   0.00199   0.0032   0.0020   0.6392  77.8453 140.8323
   8.000   0.5881   0.02701   0.00426   0.0104   0.0019   0.6453  77.9134 141.1768
   8.500   0.5663   0.03176   0.00709   0.0166   0.0019   0.6520  77.8981 141.5499
